ElectDist,wfp_vote_totals,vote_totals,wfp_pct
25021,13,244,5.327868852459017
25022,30,646,4.643962848297214
25023,10,291,3.4364261168384878
25024,17,328,5.182926829268292
25025,32,490,6.530612244897959
25026,21,452,4.646017699115045
25027,21,522,4.022988505747127
25028,22,404,5.445544554455446
25029,26,425,6.117647058823529
25030,12,365,3.287671232876712
25031,14,352,3.977272727272727
25032,11,283,3.8869257950530036
25033,24,381,6.299212598425197
25034,20,381,5.2493438320209975
25035,22,375,5.866666666666666
25036,19,332,5.72289156626506
25037,27,293,9.215017064846416
25038,7,275,2.5454545454545454
25039,10,255,3.9215686274509802
25040,10,311,3.215434083601286
25041,11,235,4.680851063829787
25042,17,349,4.871060171919771
25043,24,327,7.339449541284404
25044,13,389,3.341902313624679
25045,14,374,3.7433155080213902
25046,6,240,2.5
25047,12,190,6.315789473684211
25048,7,109,6.422018348623853
25049,0,0,0.0
25050,0,0,0.0
26001,6,186,3.225806451612903
26002,1,128,0.78125
26003,5,107,4.672897196261682
26004,12,213,5.633802816901408
26005,3,29,10.344827586206897
26006,22,423,5.200945626477542
26007,25,557,4.488330341113106
26008,25,644,3.8819875776397517
26009,14,267,5.2434456928838955
26010,5,768,0.6510416666666666
26011,3,401,0.7481296758104738
26012,28,653,4.287901990811639
26013,30,507,5.9171597633136095
26014,24,525,4.571428571428571
26015,22,618,3.559870550161812
26016,28,555,5.045045045045045
26017,21,617,3.4035656401944894
26018,26,394,6.598984771573604
26019,7,217,3.225806451612903
26020,25,611,4.091653027823241
26021,34,529,6.427221172022684
26022,21,510,4.117647058823529
26023,41,556,7.374100719424461
26024,32,577,5.545927209705373
26025,10,363,2.7548209366391183
26026,11,410,2.682926829268293
26027,6,102,5.882352941176471
26028,23,414,5.555555555555555
26029,4,260,1.5384615384615385
26031,28,518,5.405405405405405
26032,39,503,7.753479125248509
26033,30,478,6.2761506276150625
26034,30,545,5.504587155963303
26035,20,337,5.9347181008902075
26036,21,464,4.525862068965517
26037,8,342,2.3391812865497075
26038,19,746,2.546916890080429
26039,7,338,2.0710059171597632
26040,15,344,4.3604651162790695
26041,22,706,3.1161473087818696
26042,16,456,3.508771929824561
26043,23,622,3.697749196141479
26044,7,486,1.440329218106996
26045,21,600,3.5
26046,7,386,1.8134715025906736
26047,0,16,0.0
26048,17,395,4.30379746835443
26049,17,314,5.414012738853503
26050,17,414,4.106280193236715
26051,10,224,4.464285714285714
26052,25,346,7.22543352601156
26053,29,411,7.0559610705596105
26054,33,527,6.261859582542694
26055,29,527,5.502846299810247
26056,34,465,7.311827956989247
26057,26,516,5.038759689922481
26058,6,162,3.7037037037037037
26059,30,504,5.9523809523809526
26060,15,341,4.39882697947214
26061,28,516,5.426356589147287
26062,12,396,3.0303030303030303
26065,0,0,0.0
27001,5,153,3.2679738562091503
27002,42,692,6.069364161849711
27003,52,775,6.709677419354839
27004,70,782,8.951406649616368
27005,57,862,6.612529002320185
27006,38,471,8.067940552016985
27007,6,72,8.333333333333334
27008,10,228,4.385964912280702
27009,17,246,6.9105691056910565
27010,9,247,3.6437246963562755
27011,4,180,2.2222222222222223
27012,26,521,4.990403071017274
27013,20,388,5.154639175257732
27014,35,655,5.343511450381679
27015,40,691,5.788712011577424
27016,17,351,4.843304843304844
27017,13,493,2.636916835699797
27018,5,298,1.6778523489932886
27019,22,414,5.314009661835748
27020,7,209,3.349282296650718
27021,11,366,3.0054644808743167
27022,33,515,6.407766990291262
27023,8,237,3.3755274261603376
27024,6,241,2.4896265560165975
27025,6,229,2.6200873362445414
27026,9,157,5.732484076433121
27027,3,114,2.6315789473684212
27028,16,361,4.43213296398892
27029,3,132,2.272727272727273
27030,6,208,2.8846153846153846
27031,1,12,8.333333333333334
27032,30,393,7.633587786259542
27033,24,403,5.955334987593052
27034,25,377,6.63129973474801
27035,29,364,7.967032967032967
27036,24,366,6.557377049180328
27037,30,381,7.874015748031496
27038,20,312,6.410256410256411
27039,23,292,7.876712328767123
27040,15,451,3.3259423503325944
27041,7,122,5.737704918032787
27042,11,261,4.21455938697318
27043,20,348,5.747126436781609
27044,6,273,2.197802197802198
27045,13,290,4.482758620689655
27046,2,47,4.25531914893617
27047,4,179,2.2346368715083798
27048,23,368,6.25
27049,13,378,3.439153439153439
27050,12,300,4.0
27051,10,372,2.6881720430107525
27052,0,0,0.0
27054,0,0,0.0
27056,0,0,0.0
27057,0,0,0.0
27059,0,0,0.0
27060,0,0,0.0
27061,0,0,0.0
27062,0,0,0.0
27063,0,0,0.0
27067,0,0,0.0
27068,0,0,0.0
28001,17,196,8.673469387755102
28002,101,917,11.014176663031625
28003,99,849,11.66077738515901
28004,97,798,12.155388471177945
28005,8,89,8.98876404494382
28006,9,157,5.732484076433121
28007,73,568,12.852112676056338
28008,84,656,12.804878048780488
28009,84,620,13.548387096774194
28010,4,156,2.5641025641025643
28011,11,302,3.642384105960265
28012,12,285,4.2105263157894735
28013,21,202,10.396039603960396
28014,21,332,6.325301204819277
28015,10,321,3.115264797507788
28017,1,13,7.6923076923076925
28018,6,101,5.9405940594059405
28019,43,301,14.285714285714286
28020,79,481,16.424116424116423
28021,6,148,4.054054054054054
28022,25,348,7.183908045977011
28023,14,214,6.542056074766355
28024,31,402,7.711442786069652
28025,28,450,6.222222222222222
28026,25,381,6.561679790026247
28027,14,213,6.572769953051643
28028,24,261,9.195402298850574
28029,49,658,7.446808510638298
28030,52,851,6.110458284371328
28031,71,782,9.07928388746803
28032,83,827,10.036275695284159
28033,37,476,7.773109243697479
28034,49,559,8.765652951699463
28035,79,946,8.350951374207188
28036,24,232,10.344827586206897
28037,63,684,9.210526315789474
28038,50,601,8.319467554076539
28039,44,651,6.7588325652841785
28040,38,578,6.57439446366782
28041,13,259,5.019305019305019
28042,2,56,3.5714285714285716
28043,29,440,6.590909090909091
28044,14,288,4.861111111111111
28045,0,0,0.0
28046,42,560,7.5
28047,23,385,5.974025974025974
28048,45,644,6.987577639751553
28049,24,314,7.643312101910828
28050,58,607,9.555189456342669
28051,57,631,9.033280507131538
28052,35,513,6.822612085769981
28053,59,759,7.7733860342556
28054,59,620,9.516129032258064
28055,39,571,6.830122591943958
28056,39,503,7.753479125248509
28057,38,467,8.137044967880085
28058,49,550,8.909090909090908
28059,21,323,6.501547987616099
28060,31,311,9.967845659163988
28061,12,247,4.8582995951417
28062,38,702,5.413105413105413
28064,2,56,3.5714285714285716
28065,10,179,5.58659217877095
28066,19,286,6.643356643356643
28067,3,70,4.285714285714286
28068,4,82,4.878048780487805
28069,17,156,10.897435897435898
28071,8,96,8.333333333333334
28072,0,0,0.0
28073,0,0,0.0
29001,17,922,1.8438177874186552
29002,15,878,1.7084282460136675
29003,13,825,1.5757575757575757
29004,15,847,1.770956316410862
29005,13,821,1.5834348355663825
29006,13,817,1.591187270501836
29007,9,615,1.4634146341463414
29008,16,604,2.6490066225165565
29009,9,518,1.7374517374517375
29010,31,1032,3.003875968992248
29011,16,918,1.7429193899782136
29012,20,888,2.2522522522522523
29013,11,930,1.1827956989247312
29014,14,864,1.6203703703703705
29015,1,126,0.7936507936507936
29016,3,184,1.6304347826086956
29017,4,546,0.7326007326007326
29018,16,924,1.7316017316017316
29019,15,911,1.646542261251372
29020,9,715,1.2587412587412588
29021,13,895,1.452513966480447
29022,6,787,0.7623888182973316
29023,9,992,0.907258064516129
29024,3,85,3.5294117647058822
29025,17,779,2.1822849807445444
29026,3,162,1.8518518518518519
29027,20,858,2.331002331002331
29028,20,862,2.320185614849188
29029,21,953,2.2035676810073452
29030,22,859,2.561117578579744
29031,13,555,2.3423423423423424
29032,6,426,1.408450704225352
29033,13,455,2.857142857142857
29034,13,771,1.6861219195849546
29035,7,562,1.2455516014234875
29036,15,680,2.2058823529411766
29037,13,711,1.8284106891701828
29038,12,624,1.9230769230769231
29039,19,729,2.606310013717421
29040,15,711,2.109704641350211
29041,13,602,2.159468438538206
29042,3,50,6.0
29043,17,484,3.512396694214876
29044,8,419,1.909307875894988
29045,14,584,2.3972602739726026
29046,7,280,2.5
29047,7,210,3.3333333333333335
29048,9,511,1.761252446183953
29049,6,169,3.5502958579881656
29050,22,734,2.997275204359673
29051,13,612,2.1241830065359477
29052,2,246,0.8130081300813008
29053,13,305,4.262295081967213
29054,9,365,2.4657534246575343
29055,4,399,1.0025062656641603
29056,17,584,2.910958904109589
29057,16,319,5.015673981191223
29058,21,654,3.2110091743119265
29059,4,282,1.4184397163120568
29060,6,558,1.075268817204301
29061,1,59,1.694915254237288
29063,4,272,1.4705882352941178
29064,1,72,1.3888888888888888
29065,7,286,2.4475524475524475
30002,6,92,6.521739130434782
30003,19,114,16.666666666666668
30004,17,328,5.182926829268292
30005,23,463,4.967602591792657
30006,26,480,5.416666666666667
30007,13,201,6.467661691542289
30008,33,349,9.455587392550143
30009,20,265,7.547169811320755
30010,18,384,4.6875
30011,28,329,8.51063829787234
30012,11,193,5.699481865284974
30013,42,597,7.035175879396985
30014,9,87,10.344827586206897
30015,3,61,4.918032786885246
30016,34,442,7.6923076923076925
30017,7,120,5.833333333333333
30018,15,126,11.904761904761905
30019,17,330,5.151515151515151
30020,30,308,9.74025974025974
30021,54,565,9.557522123893806
30022,56,585,9.572649572649572
30023,26,299,8.695652173913043
30024,37,578,6.401384083044983
30025,28,458,6.11353711790393
30027,30,368,8.152173913043478
30028,10,150,6.666666666666667
30029,1,16,6.25
30030,23,485,4.742268041237113
30031,15,426,3.5211267605633805
30032,2,42,4.761904761904762
30033,26,324,8.024691358024691
30034,11,194,5.670103092783505
30035,39,534,7.303370786516854
30036,23,491,4.684317718940937
30037,15,310,4.838709677419355
30038,17,345,4.927536231884058
30039,20,352,5.681818181818182
30040,33,518,6.370656370656371
30041,31,499,6.212424849699399
30042,22,346,6.358381502890174
30043,41,260,15.76923076923077
30044,5,84,5.9523809523809526
30045,28,370,7.5675675675675675
30046,22,429,5.128205128205129
30047,42,328,12.804878048780488
30048,25,250,10.0
30049,58,476,12.184873949579831
30050,19,410,4.634146341463414
30051,20,414,4.830917874396135
30052,23,252,9.126984126984127
30053,29,303,9.570957095709572
30054,21,217,9.67741935483871
30055,33,330,10.0
30056,35,380,9.210526315789474
30058,0,0,0.0
30059,0,0,0.0
30060,11,74,14.864864864864865
31001,14,718,1.9498607242339834
31002,13,529,2.4574669187145557
31003,20,466,4.291845493562231
31004,15,543,2.7624309392265194
31005,22,621,3.5426731078904994
31006,7,402,1.7412935323383085
31007,15,273,5.4945054945054945
31008,23,697,3.2998565279770444
31009,9,343,2.623906705539359
31010,7,375,1.8666666666666667
31011,10,456,2.192982456140351
31012,20,609,3.284072249589491
31013,15,260,5.769230769230769
31014,18,591,3.045685279187817
31015,28,799,3.504380475594493
31016,22,590,3.7288135593220337
31017,1,13,7.6923076923076925
31018,13,328,3.9634146341463414
31019,0,19,0.0
31020,34,770,4.415584415584416
31021,15,484,3.0991735537190084
31022,11,621,1.7713365539452497
31023,16,893,1.7917133258678613
31024,2,269,0.7434944237918215
31025,13,725,1.793103448275862
31026,13,747,1.7402945113788488
31027,11,812,1.354679802955665
31028,18,687,2.6200873362445414
31029,27,646,4.179566563467493
31030,6,347,1.7291066282420748
31031,8,440,1.8181818181818181
31032,15,795,1.8867924528301887
31033,4,216,1.8518518518518519
31034,9,681,1.3215859030837005
31035,16,555,2.8828828828828827
31036,10,182,5.4945054945054945
31037,33,647,5.1004636785162285
31038,18,399,4.511278195488722
31039,5,299,1.6722408026755853
31040,4,14,28.571428571428573
31041,12,503,2.3856858846918487
31042,7,167,4.191616766467066
31043,14,471,2.9723991507430996
31044,11,389,2.827763496143959
31045,15,463,3.239740820734341
31046,12,444,2.7027027027027026
31047,3,159,1.8867924528301887
31048,5,204,2.450980392156863
31049,2,57,3.508771929824561
31050,15,400,3.75
31051,10,391,2.557544757033248
31052,6,355,1.6901408450704225
31053,12,339,3.5398230088495577
31054,15,553,2.7124773960216997
31055,6,444,1.3513513513513513
31056,21,456,4.605263157894737
31057,24,511,4.6966731898238745
31058,22,528,4.166666666666667
31059,0,0,0.0
31060,0,0,0.0
31063,0,0,0.0
31064,0,0,0.0
32001,0,49,0.0
32002,2,92,2.1739130434782608
32003,25,531,4.708097928436912
32004,6,275,2.1818181818181817
32005,19,525,3.619047619047619
32006,0,17,0.0
32007,12,559,2.146690518783542
32008,14,469,2.985074626865672
32009,6,426,1.408450704225352
32010,7,317,2.2082018927444795
32011,3,44,6.818181818181818
32012,14,416,3.3653846153846154
32013,1,41,2.4390243902439024
32014,0,58,0.0
32015,15,367,4.087193460490464
32016,1,143,0.6993006993006993
32017,3,449,0.6681514476614699
32018,7,128,5.46875
32019,13,445,2.9213483146067416
32020,12,460,2.608695652173913
32021,20,638,3.134796238244514
32022,15,692,2.167630057803468
32023,19,510,3.7254901960784315
32024,17,497,3.420523138832998
32025,9,542,1.6605166051660516
32026,22,648,3.3950617283950617
32027,9,632,1.4240506329113924
32028,12,584,2.0547945205479454
32029,10,419,2.386634844868735
32030,15,481,3.1185031185031185
32031,12,502,2.3904382470119523
32032,17,593,2.866779089376054
32033,7,224,3.125
32034,20,736,2.717391304347826
32035,3,290,1.0344827586206897
32036,4,461,0.8676789587852495
32037,16,741,2.1592442645074224
32038,11,573,1.9197207678883073
32039,19,527,3.6053130929791273
32040,15,507,2.9585798816568047
